split,macro_f1_hard,f1_label_1_hard,recall_label_1_hard,precision_label_1_hard,pr_auc_hard,macro_f1_distilled,f1_label_1_distilled,recall_label_1_distilled,precision_label_1_distilled,pr_auc_distilled,delta_macro_f1,delta_f1_label_1,delta_recall_label_1,delta_precision_label_1,delta_pr_auc
train,0.9955432085376106,0.9958398335933436,0.9932572614107884,0.9984358706986444,0.9999060864524116,0.9955432085376106,0.9958398335933437,0.9932572614107884,0.9984358706986444,0.9999063722452026,0.0,1.1102230246251565e-16,0.0,0.0,2.857927909882818e-07
val,0.985515336343488,0.984037558685446,0.9757914338919924,0.9924242424242424,0.9982153886291252,0.9863697352958922,0.9849906191369606,0.9776536312849162,0.9924385633270322,0.9982350467520938,0.000854398952404245,0.0009530604515146646,0.0018621973929238145,1.4320902789743961e-05,1.9658122968668756e-05
test_real,0.8703441772748703,0.7619047619047619,0.6486486486486487,0.9230769230769232,0.8570311936466629,0.8596683069072353,0.7419354838709677,0.6216216216216216,0.92,0.856943893148102,-0.010675870367635065,-0.019969278033794113,-0.027027027027027084,-0.0030769230769231992,-8.730049856087163e-05
test_mixed,0.9877207206484016,0.9875120076849184,0.979047619047619,0.996124031007752,0.998164969753628,0.9877207206484016,0.9875120076849183,0.979047619047619,0.9961240310077519,0.9981627331724966,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-2.236581131409565e-06
test_challenge,0.9826588203180822,0.9792387543252596,0.9860627177700348,0.972508591065292,0.9985419973903455,0.9826588203180822,0.9792387543252595,0.9860627177700348,0.9725085910652921,0.9985929268011967,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,5.092941085116376e-05
