split,macro_f1_hard,f1_label_1_hard,recall_label_1_hard,precision_label_1_hard,pr_auc_hard,macro_f1_distilled,f1_label_1_distilled,recall_label_1_distilled,precision_label_1_distilled,pr_auc_distilled,delta_macro_f1,delta_f1_label_1,delta_recall_label_1,delta_precision_label_1,delta_pr_auc
train,0.9856268305886792,0.991915846888088,0.9852941176470588,0.998627181800353,0.9997244247725284,0.9823924329256603,0.9900448955690025,0.9814241486068112,0.9988184324537219,0.9998121994353508,-0.0032343976630189175,-0.0018709513190854343,-0.0038699690402476117,0.0001912506533688907,8.777466282239299e-05
val,0.8340570719602978,0.6923076923076923,0.7297297297297297,0.6585365853658537,0.7427302444421816,0.8416021655458275,0.704225352112676,0.6756756756756757,0.7352941176470589,0.7626347125434141,0.007545093585529683,0.011917659804983716,-0.05405405405405406,0.07675753228120519,0.019904468101232475
test_challenge,0.839809712213273,0.6984126984126984,0.5945945945945946,0.8461538461538461,0.7300813764569359,0.8172339108910891,0.65625,0.5675675675675675,0.7777777777777778,0.745414510916852,-0.022575801322183953,-0.042162698412698374,-0.027027027027027084,-0.06837606837606836,0.01533313445991602
