split,rows,accuracy,macro_f1,weighted_f1,precision_label_1,recall_label_1,f1_label_1,precision_label_0,recall_label_0,f1_label_0,roc_auc,pr_auc,tn,fp,fn,tp
train,7142,0.9883786054326519,0.9856268305886793,0.9884393646212067,0.998627181800353,0.9852941176470589,0.9919158468880881,0.9627998042094958,0.9964539007092199,0.9793378142892706,0.9992342401686318,0.9997244247725285,1967,7,76,5092
val,535,0.9551401869158879,0.8340570719602978,0.9561999953618886,0.6585365853658537,0.7297297297297297,0.6923076923076923,0.979757085020243,0.9718875502008032,0.9758064516129032,0.9483338760447194,0.7427302444421816,484,14,10,27
test_challenge,537,0.9646182495344506,0.839809712213273,0.9617218488793179,0.8461538461538461,0.5945945945945946,0.6984126984126984,0.9706457925636007,0.992,0.9812067260138477,0.9461621621621622,0.7300813764569359,496,4,15,22
